metric_type,metric_name,grouping,group_value,count,mean,median,std,min,max,q25,q75
similarity,generated_headline_sim,ai_model_newspaper,yandex_tass,88,0.40186653061049155,0.3943080203460484,0.12110535900341975,0.15175665391933618,0.7389670203930198,0.3164039006796683,0.4912844508341255
similarity,generated_similarity,ai_model_newspaper,yandex_tvrain,32,0.11980717146252334,0.1137705129989481,0.05197506337351028,0.03106886360440633,0.21581172265244353,0.07731984550412403,0.16950214833535582
similarity,generated_headline_sim,ai_model_newspaper,yandex_tvrain,32,0.4175153817646502,0.4116651708080822,0.14514915872571055,0.15116674434613941,0.6958197146967975,0.3039019242774549,0.5157855537946002
rouge,generated_rouge1_f,ai_model,yandex,120,0.20816399504232794,0.20247742476860778,0.07825836483094988,0.05839415564388129,0.4705882302944708,0.15650891393966027,0.24644549269243737
rouge,generated_rouge2_f,ai_model,yandex,120,0.0754575492828118,0.06535614160804562,0.059763347542518955,0.0,0.2937853058342112,0.03555763953687116,0.10346919207093133
rouge,generated_rougeL_f,ai_model,yandex,120,0.19618671468368706,0.19094961929772514,0.0748651514244618,0.05839415564388129,0.4705882302944708,0.14645797243524544,0.2350168303466705
rouge,generated_hl_rouge1_f,ai_model,yandex,120,0.3214981142050291,0.3018987305134434,0.13646185959380114,0.07582938298331124,0.6666666620027436,0.20181474078196815,0.4100326502021395
rouge,generated_hl_rouge2_f,ai_model,yandex,120,0.21847010432540614,0.20247010593479664,0.1172753580070168,0.04494381943469541,0.5471698063367748,0.12573818673172593,0.27707198673392736
rouge,generated_hl_rougeL_f,ai_model,yandex,120,0.309371177313702,0.28507936196114286,0.1330338647104469,0.07582938298331124,0.6666666620027436,0.19305093336776302,0.403695405099323
rouge,original_hl_rouge1_f,ai_model,yandex,120,0.2224241178491143,0.19760311818476073,0.11055823198607281,0.04651162585181188,0.5365853618173706,0.13924050225524767,0.2799999972445
rouge,original_hl_rouge2_f,ai_model,yandex,120,0.12959874080804254,0.11287758126764108,0.09777051737682986,0.0,0.3838383801652894,0.06167400706010214,0.18446601679328872
rouge,original_hl_rougeL_f,ai_model,yandex,120,0.21336162085820026,0.1869542851477642,0.10962519263341641,0.04651162585181188,0.5365853618173706,0.12962962772676612,0.2599999972445
rouge,generated_rouge1_f,ai_model_approach,yandex_neutral,30,0.21693480884388727,0.2057643537514339,0.0939117406834123,0.05839415564388129,0.4705882302944708,0.1519774477052788,0.2396707784743494
rouge,generated_rouge2_f,ai_model_approach,yandex_neutral,30,0.08986239552952346,0.08523087126121523,0.07371304273689182,0.0,0.2937853058342112,0.0377536934934139,0.11141315896972764
rouge,generated_rougeL_f,ai_model_approach,yandex_neutral,30,0.20322010131023677,0.1888354284925124,0.08760953306340688,0.05839415564388129,0.4705882302944708,0.13967429744445944,0.22997343486150437
rouge,generated_hl_rouge1_f,ai_model_approach,yandex_neutral,30,0.4563645679344923,0.47475961078500606,0.13336610399822657,0.16901408208688753,0.6666666620027436,0.3435544397682281,0.5428118349518392
rouge,generated_hl_rouge2_f,ai_model_approach,yandex_neutral,30,0.33501293118242403,0.34358844617341633,0.11936042961349966,0.12499999762812504,0.5471698063367748,0.25342294945914645,0.42849098667093405
rouge,generated_hl_rougeL_f,ai_model_approach,yandex_neutral,30,0.4405754861511786,0.44650595412947724,0.13003532929976397,0.16901408208688753,0.6666666620027436,0.3314632701731236,0.5301950443170909
rouge,original_hl_rouge1_f,ai_model_approach,yandex_neutral,30,0.22242411784911426,0.19760311818476073,0.1119787386118019,0.04651162585181188,0.5365853618173706,0.14146741325536175,0.27355931933571986
rouge,original_hl_rouge2_f,ai_model_approach,yandex_neutral,30,0.12959874080804254,0.11287758126764108,0.09902672114600954,0.0,0.3838383801652894,0.06323663698991464,0.18406379763725225
rouge,original_hl_rougeL_f,ai_model_approach,yandex_neutral,30,0.21336162085820023,0.1869542851477642,0.11103371110992578,0.04651162585181188,0.5365853618173706,0.13161375471349793,0.2566438327748087
rouge,generated_rouge1_f,ai_model_approach,yandex_tass,30,0.22557050144120225,0.2369846012232415,0.07666314012825927,0.0909090859900829,0.43478260369905486,0.1736284504656435,0.2630867453119854
rouge,generated_rouge2_f,ai_model_approach,yandex_tass,30,0.08119281865654206,0.08335502848803586,0.05382986998239482,0.0,0.21674876347302785,0.04073969315506631,0.10815629464242353
rouge,generated_rougeL_f,ai_model_approach,yandex_tass,30,0.21429084265001047,0.2204358652784723,0.07429156505619296,0.0879120837386791,0.41739129935122876,0.16898725833663836,0.24158196847332297
rouge,generated_hl_rouge1_f,ai_model_approach,yandex_tass,30,0.3270608020965538,0.3619047582580641,0.10772627087236539,0.11290322432362124,0.516129027778356,0.23412253741307026,0.4095016391629236
rouge,generated_hl_rouge2_f,ai_model_approach,yandex_tass,30,0.20221028083835382,0.20819790192298476,0.09773611731404652,0.06153845843195283,0.3692307648568047,0.11233305023148782,0.26932389293828746
rouge,generated_hl_rougeL_f,ai_model_approach,yandex_tass,30,0.3113704357826406,0.3619047582580641,0.10538352045059685,0.11290322432362124,0.44660193797341885,0.22904738640205305,0.399999996232398
rouge,original_hl_rouge1_f,ai_model_approach,yandex_tass,30,0.22242411784911426,0.19760311818476073,0.1119787386118019,0.04651162585181188,0.5365853618173706,0.14146741325536175,0.27355931933571986
rouge,original_hl_rouge2_f,ai_model_approach,yandex_tass,30,0.12959874080804254,0.11287758126764108,0.09902672114600954,0.0,0.3838383801652894,0.06323663698991464,0.18406379763725225
rouge,original_hl_rougeL_f,ai_model_approach,yandex_tass,30,0.21336162085820023,0.1869542851477642,0.11103371110992578,0.04651162585181188,0.5365853618173706,0.13161375471349793,0.2566438327748087
rouge,generated_rouge1_f,ai_model_approach,yandex_tvrain,30,0.181354589144296,0.1828436104222444,0.05452537864204959,0.08749999719453135,0.28959275533670487,0.14638029667406732,0.2144434985853801
rouge,generated_rouge2_f,ai_model_approach,yandex_tvrain,30,0.05765541610817179,0.05514042010284103,0.04203914247635622,0.0,0.1735849009429692,0.026083713581156957,0.07284917649269591
rouge,generated_rougeL_f,ai_model_approach,yandex_tvrain,30,0.17015582585968358,0.17235005785703827,0.05497883850692075,0.0703517555819299,0.28959275533670487,0.1364177082471584,0.19542839558902259
rouge,generated_hl_rouge1_f,ai_model_approach,yandex_tvrain,30,0.20825583836502787,0.19779349035131466,0.06466695600581902,0.07582938298331124,0.367346935587776,0.15980848650405446,0.26363047300072695
rouge,generated_hl_rouge2_f,ai_model_approach,yandex_tvrain,30,0.1331818390764406,0.12783854083784296,0.05328352509789718,0.04494381943469541,0.25423728537668777,0.09787449271188955,0.1714105919954137
rouge,generated_hl_rougeL_f,ai_model_approach,yandex_tvrain,30,0.19820938481194475,0.1927769735401984,0.0637662164541963,0.07582938298331124,0.3571428539551229,0.14974560431360218,0.25325896559473937
rouge,original_hl_rouge1_f,ai_model_approach,yandex_tvrain,30,0.22242411784911426,0.19760311818476073,0.1119787386118019,0.04651162585181188,0.5365853618173706,0.14146741325536175,0.27355931933571986
rouge,original_hl_rouge2_f,ai_model_approach,yandex_tvrain,30,0.12959874080804254,0.11287758126764108,0.09902672114600954,0.0,0.3838383801652894,0.06323663698991464,0.18406379763725225
rouge,original_hl_rougeL_f,ai_model_approach,yandex_tvrain,30,0.21336162085820023,0.1869542851477642,0.11103371110992578,0.04651162585181188,0.5365853618173706,0.13161375471349793,0.2566438327748087
rouge,generated_rouge1_f,ai_model_approach,yandex_universal,30,0.20879608073992614,0.21396614059529306,0.07952620572346686,0.07920791609842201,0.41573033208117666,0.1629931714779581,0.2451865754674675
rouge,generated_rouge2_f,ai_model_approach,yandex_universal,30,0.0731195668370099,0.063269699980773,0.06305057133135922,0.0,0.27053139596910086,0.03397435409826599,0.0912529329978298
rouge,generated_rougeL_f,ai_model_approach,yandex_universal,30,0.19708008891481738,0.1997067406365136,0.07542940756777408,0.06930692599941216,0.37795275093062186,0.15089011975377667,0.24001451954487035
rouge,generated_hl_rouge1_f,ai_model_approach,yandex_universal,30,0.29431124842404244,0.28836316857601685,0.09980815938976034,0.10294117510813149,0.4999999956722222,0.2201488070998131,0.36868686510947013
rouge,generated_hl_rouge2_f,ai_model_approach,yandex_universal,30,0.20347536620440626,0.19139193883527145,0.08784545802884342,0.04878048655339087,0.39705881937716264,0.13214879655262135,0.2645046493419529
rouge,generated_hl_rougeL_f,ai_model_approach,yandex_universal,30,0.2873294025090438,0.27946916163696905,0.09717979003009412,0.10294117510813149,0.46666666233888904,0.2201488070998131,0.3602353896426279
rouge,original_hl_rouge1_f,ai_model_approach,yandex_universal,30,0.22242411784911426,0.19760311818476073,0.1119787386118019,0.04651162585181188,0.5365853618173706,0.14146741325536175,0.27355931933571986
rouge,original_hl_rouge2_f,ai_model_approach,yandex_universal,30,0.12959874080804254,0.11287758126764108,0.09902672114600954,0.0,0.3838383801652894,0.06323663698991464,0.18406379763725225
rouge,original_hl_rougeL_f,ai_model_approach,yandex_universal,30,0.21336162085820023,0.1869542851477642,0.11103371110992578,0.04651162585181188,0.5365853618173706,0.13161375471349793,0.2566438327748087
rouge,generated_rouge1_f,ai_model_newspaper,yandex_tass,88,0.23592298102528997,0.22569287958767592,0.06949933200577708,0.12093022941438623,0.4705882302944708,0.18878708103738728,0.26198751776322876
rouge,generated_rouge2_f,ai_model_newspaper,yandex_tass,88,0.09530270542233771,0.0857153750917943,0.05702140562859496,0.011764701094292606,0.2937853058342112,0.057667397616274194,0.11078961118681854
rouge,generated_rougeL_f,ai_model_newspaper,yandex_tass,88,0.2227606456846954,0.21720429668206626,0.06606441507816485,0.11162790383299089,0.4705882302944708,0.1791720007607175,0.24692562166132323
rouge,generated_hl_rouge1_f,ai_model_newspaper,yandex_tass,88,0.3169688088880686,0.2889943044246266,0.12975640237833222,0.11428571291036736,0.6666666620027436,0.20563112611026582,0.40922781661491403
rouge,generated_hl_rouge2_f,ai_model_newspaper,yandex_tass,88,0.21237755749171724,0.19601328625613929,0.10848425451881676,0.046082947710930425,0.5423728767710428,0.12598425037982827,0.2717658952441758
rouge,generated_hl_rougeL_f,ai_model_newspaper,yandex_tass,88,0.3069179970200821,0.2755009078189552,0.1279397856266332,0.09696969483930216,0.6666666620027436,0.1936503089572886,0.39999999619719395
rouge,original_hl_rouge1_f,ai_model_newspaper,yandex_tass,88,0.2508538904668768,0.23166946590320664,0.11290344960606863,0.1071428554436384,0.5365853618173706,0.1666666646522039,0.2954545424076705
rouge,original_hl_rouge2_f,ai_model_newspaper,yandex_tass,88,0.1636968763825928,0.13537176490610509,0.09088817905311546,0.05449591177601736,0.3838383801652894,0.08490565874555005,0.2064516100262227
rouge,original_hl_rougeL_f,ai_model_newspaper,yandex_tass,88,0.24249118182124613,0.2268847769079913,0.11178215897613801,0.09821428401506699,0.5365853618173706,0.1666666646522039,0.2954545424076705
rouge,generated_rouge1_f,ai_model_newspaper,yandex_tvrain,32,0.13182678358918234,0.1263157844963991,0.04184893198091317,0.05839415564388129,0.22222221758127225,0.10040243421444854,0.15724260218339728
rouge,generated_rouge2_f,ai_model_newspaper,yandex_tvrain,32,0.020883369899115583,0.018483731634399106,0.019828257137520847,0.0,0.06603773117346064,0.0,0.035244356296269916
rouge,generated_rougeL_f,ai_model_newspaper,yandex_tvrain,32,0.12310840443091406,0.12219848027813184,0.04182168606035688,0.05839415564388129,0.22222221758127225,0.0886446850840032,0.14664133875355068
rouge,generated_hl_rouge1_f,ai_model_newspaper,yandex_tvrain,32,0.33395370382667056,0.30745428615077675,0.1549645173929274,0.07582938298331124,0.6304347776110587,0.18550318398830645,0.4637096731493251
rouge,generated_hl_rouge2_f,ai_model_newspaper,yandex_tvrain,32,0.23522460811805068,0.20634607457009502,0.13918307940490274,0.04494381943469541,0.5471698063367748,0.12475774897225061,0.3395197784011039
rouge,generated_hl_rougeL_f,ai_model_newspaper,yandex_tvrain,32,0.31611742312115676,0.28639780950786975,0.14810740416517912,0.07582938298331124,0.6304347776110587,0.1822515501311466,0.41935483428720083
rouge,original_hl_rouge1_f,ai_model_newspaper,yandex_tvrain,32,0.14424224315026757,0.15295358291165162,0.05042497105971927,0.04651162585181188,0.20512820013149255,0.11190429821784895,0.18444055451992425
rouge,original_hl_rouge2_f,ai_model_newspaper,yandex_tvrain,32,0.03582886797802939,0.03475150895126576,0.03368112266894632,0.0,0.09230768753964522,0.0,0.05852746198137278
rouge,original_hl_rougeL_f,ai_model_newspaper,yandex_tvrain,32,0.13325532820982394,0.1382911356542677,0.045081317715483224,0.04651162585181188,0.18181817681983486,0.10847964068360236,0.17467948241468415
