metric_type,metric_name,grouping,group_value,count,mean,median,std,min,max,q25,q75
rouge,original_hl_rouge2_f,ai_model_approach,gpt_neutral,30,0.12959874080804254,0.11287758126764108,0.09902672114600954,0.0,0.3838383801652894,0.06323663698991464,0.18406379763725225
rouge,original_hl_rougeL_f,ai_model_approach,gpt_neutral,30,0.21336162085820023,0.1869542851477642,0.11103371110992578,0.04651162585181188,0.5365853618173706,0.13161375471349793,0.2566438327748087
rouge,generated_rouge1_f,ai_model_approach,gpt_tass,30,0.22139674571795295,0.23008090968014328,0.07207517381695414,0.061135366744341585,0.3454545406037191,0.18037143158708296,0.2713393427739683
rouge,generated_rouge2_f,ai_model_approach,gpt_tass,30,0.07490930956865843,0.06343390315419378,0.046859566117825914,0.006968636260732539,0.19083968991871117,0.03820830332590921,0.10355660177498789
rouge,generated_rougeL_f,ai_model_approach,gpt_tass,30,0.2110569243990105,0.21679286329622366,0.06974011219816396,0.061135366744341585,0.33160621337163415,0.17385623800774147,0.2568585941211599
rouge,generated_hl_rouge1_f,ai_model_approach,gpt_tass,30,0.22894977937060051,0.2146632309090148,0.0682160809573331,0.07361963075012234,0.3626373595308538,0.19825581167454429,0.2570463294097634
rouge,generated_hl_rouge2_f,ai_model_approach,gpt_tass,30,0.11928959084850527,0.10781749225212288,0.06137387652398241,0.0,0.2883720901737156,0.0821288957404597,0.1492695267644594
rouge,generated_hl_rougeL_f,ai_model_approach,gpt_tass,30,0.2154434555759789,0.2120811262374262,0.07127108332671817,0.07361963075012234,0.3626373595308538,0.17143667937152496,0.2570463294097634
rouge,original_hl_rouge1_f,ai_model_approach,gpt_tass,30,0.22242411784911426,0.19760311818476073,0.1119787386118019,0.04651162585181188,0.5365853618173706,0.14146741325536175,0.27355931933571986
rouge,original_hl_rouge2_f,ai_model_approach,gpt_tass,30,0.12959874080804254,0.11287758126764108,0.09902672114600954,0.0,0.3838383801652894,0.06323663698991464,0.18406379763725225
rouge,original_hl_rougeL_f,ai_model_approach,gpt_tass,30,0.21336162085820023,0.1869542851477642,0.11103371110992578,0.04651162585181188,0.5365853618173706,0.13161375471349793,0.2566438327748087
rouge,generated_rouge1_f,ai_model_approach,gpt_tvrain,30,0.17490719711328676,0.18772568527453898,0.05501796204784735,0.06763284797311496,0.2617801004424221,0.12922342326827754,0.2063386130380449
rouge,generated_rouge2_f,ai_model_approach,gpt_tvrain,30,0.05202287242045423,0.04902316740878108,0.03545170987128702,0.0,0.12499999541897525,0.02311856731685469,0.07515527493210425
rouge,generated_rougeL_f,ai_model_approach,gpt_tvrain,30,0.16495367005477185,0.1777045582420455,0.04900427541598736,0.06278026567998571,0.233009703765566,0.12922342326827754,0.18823575111160737
rouge,generated_hl_rouge1_f,ai_model_approach,gpt_tvrain,30,0.17706215771516395,0.18244739492325218,0.0492546158164025,0.07142857046022492,0.2594594567421476,0.14197220594939902,0.20869687330294692
rouge,generated_hl_rouge2_f,ai_model_approach,gpt_tvrain,30,0.09311374856500883,0.09246209512431852,0.04303179089369567,0.025641023800131623,0.18584070566215055,0.056460311914421524,0.12929110379470793
rouge,generated_hl_rougeL_f,ai_model_approach,gpt_tvrain,30,0.16861192702383454,0.16892373222592574,0.04921723471598816,0.07070706865370888,0.2594594567421476,0.13703519600341557,0.20869687330294692
rouge,original_hl_rouge1_f,ai_model_approach,gpt_tvrain,30,0.22242411784911426,0.19760311818476073,0.1119787386118019,0.04651162585181188,0.5365853618173706,0.14146741325536175,0.27355931933571986
rouge,original_hl_rouge2_f,ai_model_approach,gpt_tvrain,30,0.12959874080804254,0.11287758126764108,0.09902672114600954,0.0,0.3838383801652894,0.06323663698991464,0.18406379763725225
rouge,original_hl_rougeL_f,ai_model_approach,gpt_tvrain,30,0.21336162085820023,0.1869542851477642,0.11103371110992578,0.04651162585181188,0.5365853618173706,0.13161375471349793,0.2566438327748087
rouge,generated_rouge1_f,ai_model_approach,gpt_universal,30,0.1916910443464977,0.19973075785797484,0.052947760749205916,0.058139532237020126,0.3122362821891079,0.15893918739315566,0.22374906177274081
