headline,newspaper,ai_model,approach,file,headline_length,generated_rouge1_f,generated_rouge2_f,generated_rougeL_f,generated_hl_rouge1_f,generated_hl_rouge2_f,generated_hl_rougeL_f,original_hl_rouge1_f,original_hl_rouge2_f,original_hl_rougeL_f
В Госдуме опровергли сообщения о необходимости регистрации теплиц на дачах,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,10,0.24644549270052346,0.07968126995000109,0.24644549270052346,0.4132231369387337,0.28368794007947296,0.4132231369387337,0.24657533936573467,0.15662650321962554,0.24657533936573467
"На первый конкурс Президентского фонда природы подали более 1,6 тыс. заявок",tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,11,0.24074073603052135,0.11528821583482536,0.2345678965243485,0.35443037629786905,0.2645502614014166,0.35443037629786905,0.25423728560937947,0.1901408428042551,0.24576270933819308
В Москве более 500 человек приняли участие в акции солидарности профсоюзов,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,11,0.2087542039936969,0.09239129959608366,0.19528619052568344,0.3472222190895062,0.2643678131635619,0.3333333302006173,0.22009569145944463,0.13281249787139895,0.210526313469014
"В Тверской области слесарь первым получил звание ""Герой Труда""",tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,9,0.15615615115728357,0.06403940387912872,0.1501501451512776,0.16304347632325145,0.11206896401345126,0.15217391110586015,0.14814814625570397,0.08490565874555005,0.13756613567369336
"Кабмин выделил ЕАО 233,6 млн рублей на реконструкцию моста через реку Хинган",tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,12,0.2857142807529285,0.1052631529701449,0.2747252697639175,0.2711864379761564,0.19047618822527654,0.25423728543378343,0.21568627147827762,0.11764705614010318,0.19607842834102268
Уровень воды в районе села Ильинка Тюменской области достиг пика,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,10,0.1793721931420299,0.0624999960824173,0.1793721931420299,0.2558139499188751,0.1836734660204082,0.2558139499188751,0.19209039347569348,0.12931034318110882,0.19209039347569348
По ОМС за последние несколько лет стали доступными 300 видов медпомощи,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,11,0.2834008048169943,0.14285713795918387,0.25910930684128575,0.29411764422906583,0.18367346693877554,0.29411764422906583,0.385185181811797,0.24675324377804014,0.3407407373673526
И.о. президента Южной Кореи ушел в отставку,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,7,0.2228738967649057,0.07744874383964398,0.19941348620772098,0.3636363602938476,0.24999999706632656,0.3636363602938476,0.12676056201076175,0.05449591177601736,0.10563380144738149
Эксперт Барреро: вероятность повторного масштабного блэкаута в Испании мала,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,9,0.1328671280871927,0.011764701094292606,0.11188810710817175,0.1777777750496571,0.11464967911882841,0.1777777750496571,0.11282051081867193,0.06167400706010214,0.11282051081867193
Прокуратура Южной Кореи обвинила Юн Сок Ёля в превышении полномочий,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,10,0.19999999506530625,0.0806451563228411,0.19999999506530625,0.25925925686728396,0.17187499805175782,0.25925925686728396,0.1666666646522039,0.108108106395179,0.1666666646522039
Верховный суд Южной Кореи не согласился с оправданием фаворита президентской гонки,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,11,0.2693877504326531,0.08783783320306818,0.2693877504326531,0.2826086929229679,0.15596330037875603,0.26086956248818527,0.4132231367666144,0.30434782268431004,0.4132231367666144
